call_id,customer_id,start_time,end_time,origin,destination,call_duration,call_cost
38,51,2022-09-18 19:57:55,2024-06-21 17:14:08,857.124.6453x8650,6742336917,73,374.4
39,46,2022-10-27 22:35:28,2022-07-18 19:15:11,(628)143-7060x95933,+1-065-245-4131x959,3583,339.33
40,567,2022-01-23 09:31:06,2023-05-24 12:39:06,+1-573-330-7546x753,+1-833-296-2841x50132,522,20.08
41,108,2022-12-28 12:44:25,2024-03-17 19:15:53,226-124-9213x43054,266-327-2298x99607,764,155.53
42,972,2023-07-18 19:29:06,2022-12-01 20:37:47,331.789.5800,482.411.6507x0868,1751,303.57
43,630,2021-12-16 09:25:02,2024-06-26 13:16:38,(317)145-6755,001-421-015-0547x9528,1906,267.37
44,99,2022-05-13 13:35:47,2022-12-14 12:14:27,+1-350-120-8139x6362,(342)504-6855x87504,1204,171.76
45,370,2024-04-16 20:38:17,2023-02-04 13:32:51,074.500.4780,4802789740,2437,258.03
46,823,2024-01-25 17:37:26,2022-07-08 17:47:47,417.663.5426x2722,+1-909-930-8613x74108,1772,259.83
47,300,2024-01-25 20:34:46,2023-08-18 21:48:32,329.845.4146,001-482-055-2857x29609,2887,90.51
48,46,2023-11-15 01:29:14,2024-04-12 01:19:10,(779)070-7343x646,001-324-765-6580x204,2398,400.75
49,132,2022-07-03 23:22:13,2024-01-02 11:45:17,+1-791-121-8050x12446,473-753-3437x265,3368,47.96
50,550,2024-06-02 05:32:39,2024-07-26 20:29:47,655-139-1893x25922,001-246-349-4902x9639,347,282.63
51,9,2023-06-29 10:54:28,2023-08-16 11:46:57,144.555.9816x15904,790.554.4503,1928,343.52
52,927,2021-11-11 04:07:04,2022-04-01 19:56:08,(110)474-9234x8555,+1-174-795-2885x872,1644,288
53,925,2023-04-04 16:33:17,2024-01-07 19:26:51,001-303-473-8212x85638,072-867-1605x1123,3522,368.17
54,285,2024-05-02 17:50:55,2022-08-05 07:21:43,070.801.2861x514,+1-971-043-4649x22928,6,350.63
55,563,2023-01-21 22:20:57,2024-03-27 09:31:38,001-731-397-3436,(593)316-1519,1898,179.59
56,170,2023-06-06 19:56:41,2022-12-19 22:08:19,(526)672-7686x6240,001-083-560-5736,1828,280.73
57,75,2022-09-27 00:18:51,2024-03-21 03:16:50,+1-511-772-6339,776-203-4474,1673,27.64
58,578,2021-10-20 04:06:21,2022-04-11 23:28:38,(502)371-0070,623-912-6587,1507,338.26
59,818,2024-03-08 19:17:12,2022-10-19 23:20:10,(631)739-1281x151,001-077-652-2821x714,1625,386.29
60,30,2024-02-21 04:35:51,2022-11-18 03:36:38,9172373459,456-856-2190x4101,2178,198.6
61,363,2022-01-08 16:48:23,2022-04-25 06:59:12,406.012.7538,001-405-796-4689,2027,453.25
62,760,2024-09-11 03:48:38,2022-10-05 09:38:31,+1-925-320-2600x57844,948.980.6128,1045,442.47
63,687,2024-09-06 17:04:20,2023-01-21 15:14:14,652.611.7862x955,+1-668-625-7858,1842,394.76
64,338,2024-07-22 22:00:44,2022-07-31 20:41:45,(087)590-9554x513,001-434-640-5800x9644,415,454.06
65,700,2022-03-22 11:04:06,2022-12-30 17:54:59,001-698-519-8944x8103,370.432.2670,360,360.8
66,192,2023-05-16 21:07:56,2023-12-21 15:09:24,590.517.7648,+1-734-529-7538,437,200.81
67,842,2023-10-01 23:01:01,2023-10-11 14:35:09,001-444-880-7541x3229,(996)201-4042x23215,3437,346.57
68,508,2022-09-29 09:37:04,2024-05-17 11:41:07,+1-389-305-0015x41116,002-418-4038x3942,1922,255.2
69,375,2022-02-15 10:00:31,2024-06-05 08:02:43,001-728-292-1190x26095,+1-916-721-7403x12513,3088,186.46
70,223,2023-07-10 06:29:12,2022-01-20 10:51:59,001-544-035-9316x59192,(981)559-6111x262,90,197.05
71,413,2022-10-08 19:55:15,2022-11-23 13:40:24,(804)191-6429x589,(426)148-2807x6360,1980,212.68
72,188,2023-04-25 11:54:18,2024-06-11 08:12:08,343-434-2949x97524,417-482-1857x199,1804,359.08
73,928,2022-08-09 15:07:25,2022-12-24 10:07:27,(899)767-4473x438,492.546.4521,468,424.9
74,601,2022-02-06 09:10:05,2023-07-22 03:24:44,001-142-188-4384x310,228.385.4227,1580,406.07
75,269,2021-12-14 14:11:43,2023-01-28 04:49:25,+1-170-350-7055x7618,060-038-6745x374,3165,254.99
76,692,2022-12-09 11:50:45,2022-03-08 01:18:23,942.727.0484x779,7754672293,3586,411.29
77,575,2023-05-17 16:50:12,2024-01-06 23:47:08,735-714-6069x961,(065)094-8597,1441,119.34
78,283,2024-09-09 01:56:52,2023-02-03 09:23:00,+1-951-223-8604x8997,955-988-6852,3364,184.32
79,383,2023-05-09 04:27:58,2023-07-14 22:15:50,(653)255-2055x03994,0327627395,2905,323.15
80,914,2024-02-29 14:40:04,2024-05-25 05:09:51,001-068-511-0730,097-663-2676,72,83.03
81,684,2023-01-22 06:24:15,2022-03-30 02:18:29,(690)634-8365,(245)595-8645,3546,102.65
82,431,2024-06-28 09:28:05,2024-03-30 13:03:36,696-398-3382,1485829284,3574,271.92
83,479,2022-01-07 18:23:10,2023-01-19 06:19:49,4493244908,+1-721-854-0213x0885,1747,109.41
84,822,2021-12-21 06:30:29,2022-11-16 17:03:28,+1-703-854-7887x07705,+1-574-233-7805x8338,278,277.42
85,788,2022-12-08 11:53:31,2023-01-22 21:45:24,+1-822-667-3711x6987,1891690604,614,439.83
86,707,2024-07-05 04:15:26,2024-02-29 17:38:42,001-380-848-1507x4462,(156)140-9768,3039,166.18
87,521,2022-10-04 13:57:57,2023-10-23 11:50:47,5759687829,+1-209-381-3081x67594,3030,446.23
88,674,2021-11-03 08:15:26,2024-04-05 03:06:37,8293435520,916.874.6490x85815,813,77.36
89,791,2022-08-09 02:53:14,2024-09-24 10:20:26,+1-613-418-2558x9003,(232)580-8924x239,2098,348.52
90,481,2024-03-10 21:51:41,2024-03-03 23:40:38,433-173-6394x707,830-203-0605,2948,297.14
91,25,2021-11-10 04:02:47,2024-05-28 11:19:01,447-912-4714x46793,(313)826-8864x9051,1225,458.36
92,752,2024-02-09 20:31:01,2023-06-04 06:09:25,512-322-8442,001-927-893-9435x61448,3239,263.71
93,159,2022-09-18 06:04:26,2023-01-01 12:46:19,279.906.1275x9955,513-605-1901x9962,3325,414.5
94,763,2024-05-27 16:53:58,2024-01-25 04:49:09,874-220-5791x122,+1-459-854-2903,1059,222.65
95,690,2024-04-26 13:41:01,2022-08-13 02:02:52,001-056-348-3477x89632,001-741-391-8807x43749,2684,397.07
96,428,2023-07-14 05:55:37,2021-11-04 00:22:58,001-238-553-0746x39464,583-064-6466x73804,561,221.91
97,451,2023-07-22 01:00:01,2022-07-29 08:22:31,384.002.3646x991,001-386-941-8279x092,2744,128.45
98,522,2022-02-19 12:57:13,2022-05-06 03:03:37,449.642.3989x335,198.161.1662x269,2293,498.95
99,429,2023-03-09 10:59:34,2023-12-26 22:31:54,001-775-212-8820,(973)634-4783,889,402.13
100,914,2024-06-14 17:34:34,2024-01-18 16:57:42,+1-200-809-7798x85770,(234)254-3986,3236,71.82
101,517,2023-12-30 04:49:43,2023-10-15 20:15:56,(645)254-3014x50192,471.805.0064,816,463.85
102,211,2024-09-12 03:30:25,2022-07-02 06:15:32,001-426-852-4626x7087,761-023-3541x999,1011,478.73
103,113,2024-02-09 14:38:01,2022-10-08 17:44:38,+1-145-466-2353,715-988-1844,2666,260.64
104,593,2021-10-30 23:40:47,2022-03-05 22:53:51,2922569979,797.765.3465x172,1181,463.3
105,76,2024-06-02 20:24:10,2021-10-27 14:03:18,678-611-1582x51881,(158)146-3933x77262,2590,388.52
106,282,2021-10-09 19:30:12,2024-07-30 06:37:38,+1-392-359-3962x900,+1-114-717-3833x07080,2231,292.17
107,347,2024-06-20 13:11:16,2022-07-04 06:50:46,+1-437-310-8908x05459,(428)124-1452x0104,1259,417.41
108,386,2022-04-11 01:02:47,2023-02-28 09:27:03,233.235.4298x604,7383344756,1107,457.69
109,389,2022-09-30 11:04:29,2024-01-21 03:01:04,827.194.4553x489,+1-486-501-0134x45712,1461,340.63
110,536,2024-02-15 09:38:00,2022-08-07 09:26:39,343-798-4571x289,(974)434-0495x680,3401,176.99
111,356,2023-10-25 20:47:52,2023-01-08 07:35:38,(889)819-8571x8641,(384)203-2628x96783,1337,220.34
112,929,2021-10-25 00:38:32,2024-07-08 19:13:28,(967)449-2042x1934,636-397-7373x584,2460,156.2
113,935,2023-06-14 07:05:35,2024-08-26 09:01:04,792-975-2920x4556,311.418.2334x3684,539,164.53
114,236,2022-03-18 02:07:07,2024-03-22 18:15:10,001-583-408-9142,(997)516-1595x81870,1124,336.86
115,977,2023-10-20 14:55:38,2023-09-20 07:48:13,+1-399-253-8061x84442,314-027-7063x298,3168,122.22
116,557,2023-01-22 14:55:59,2021-10-17 15:21:19,0305371190,767-713-7889,1062,103.09
117,459,2023-02-08 09:06:41,2022-01-25 19:24:59,+1-504-635-8947x647,+1-887-262-4625,1933,39.49
118,153,2022-08-07 17:17:14,2022-03-29 16:24:25,3110530526,(709)414-4905x7275,3098,408.75
119,337,2024-09-10 04:23:43,2023-02-01 04:45:35,(666)001-8062x407,237.118.7012,1748,466.01
120,924,2024-05-21 07:43:35,2021-11-11 18:05:26,001-718-683-6696x54276,715-515-1995x6499,3188,438.72
121,655,2022-04-03 00:47:44,2022-03-16 01:11:37,006-481-5876x001,970-427-5602,3455,363.7
122,497,2024-01-19 03:12:08,2023-10-08 13:52:20,787.442.8818x09898,296-036-3338,3211,219.18
123,447,2024-04-22 01:45:25,2022-12-11 00:48:32,123.635.0759,0084590004,1192,356.83
124,213,2022-06-26 23:53:07,2022-01-03 02:59:16,001-157-963-6644x0209,+1-962-860-1763,3423,112.1
125,932,2024-04-01 09:03:15,2024-01-27 05:29:16,(600)970-1298x6782,+1-081-464-9525x58792,3315,281.19
126,899,2024-08-05 17:48:57,2022-07-01 07:54:41,833-016-2551x85191,+1-785-746-1689x049,875,383.63
127,988,2022-02-21 01:27:11,2021-11-02 03:36:12,478.344.8033,001-763-549-1689x087,382,392.72
128,345,2023-06-26 03:36:01,2023-08-14 02:45:47,001-134-680-5753,2520851841,2480,79.94
129,233,2024-07-20 18:09:52,2022-04-01 00:11:44,+1-940-439-2706x02468,+1-851-435-5695x599,894,133.26
130,914,2022-12-05 02:07:16,2024-09-27 02:05:42,(156)301-2984x33200,134-576-2703,3429,136.68
131,789,2022-05-15 02:28:49,2022-01-21 01:59:42,409.025.3559x626,+1-112-986-9117x317,2624,320.62
132,549,2022-05-12 10:10:22,2023-12-27 03:21:43,+1-053-739-4976x21976,001-533-216-4358x61782,1993,213.46
133,299,2022-11-13 11:02:09,2023-05-07 21:09:41,001-484-311-7727x9373,790.823.7423,1329,319.8
134,855,2024-07-02 13:36:24,2022-04-22 09:56:39,657.763.2224,081-482-6160,1311,25.94
135,573,2022-04-29 16:12:08,2023-10-30 21:44:26,(095)662-5865x26028,(320)632-6082,2771,412.31
136,921,2024-09-07 19:27:28,2022-04-03 09:36:30,740.056.9370,816-129-4963x7260,2879,164.96
137,685,2021-11-09 14:09:11,2021-10-29 23:15:07,445-167-6956,001-010-875-8971x00337,3557,174.2
138,967,2024-01-18 05:00:05,2023-10-25 19:10:25,(628)280-7822,001-631-791-2962x70847,1647,378.59
139,108,2024-04-10 22:57:17,2023-12-04 12:35:54,001-153-913-1492x43260,646-117-7890x5953,3157,99.15
140,385,2023-04-17 21:08:12,2024-07-22 13:12:34,(970)331-6104x6393,(586)533-7395x8753,2652,171.17
141,751,2023-07-05 07:33:00,2022-08-16 07:55:15,001-939-780-4507x2417,5960895574,2032,305.14
142,795,2024-06-06 17:38:40,2023-08-03 08:59:27,+1-998-768-0327,170.828.0961,1174,95.16
143,674,2024-01-29 21:33:20,2021-10-24 12:40:12,(482)908-9797,378.497.5451x0609,758,232.72
144,465,2023-07-28 03:06:11,2023-05-22 11:34:00,+1-849-076-4016,988-920-8028x13725,1150,55.93
145,749,2024-01-29 11:48:20,2024-06-19 15:00:30,+1-514-562-5320,(776)098-9197,2736,374.68
146,459,2023-04-15 06:24:09,2022-10-14 19:25:09,001-321-724-4340x13732,001-018-389-7675x2978,2711,444.12
147,269,2023-06-11 18:22:04,2022-03-31 20:47:00,151.748.7183x15767,001-356-934-7442x2992,3517,71.69
148,475,2022-02-15 06:38:47,2022-11-12 18:42:12,703-151-0583,1647766721,2493,206.14
149,671,2022-09-20 14:31:21,2024-08-23 22:55:15,001-411-155-6421x057,162-213-3761x831,3525,321.47
150,507,2023-11-10 12:03:09,2022-03-04 07:41:28,728.282.0099x39042,(662)822-0535x335,1250,430.04
151,645,2024-01-11 13:06:34,2023-02-24 23:59:51,9613409918,262-663-8145x936,2131,376.71
152,72,2022-05-03 01:37:02,2023-03-07 12:34:28,475.895.0874,+1-274-981-5001,1201,153.03
153,526,2024-06-28 20:04:51,2022-06-07 03:26:15,(710)309-9055x5981,7876634070,1366,201.27
154,691,2023-04-18 00:51:28,2024-05-16 05:40:12,896.377.6577x4673,+1-112-468-5735,568,298.17
155,13,2022-06-08 14:47:01,2022-04-25 19:24:39,153-536-4246x1315,042.997.2101x479,2951,474
156,789,2022-12-30 18:29:01,2023-09-29 15:12:26,651-586-6183,001-123-854-0075x0587,2836,59.67
157,299,2022-08-11 03:53:01,2022-12-18 02:45:33,192-968-2871,738-168-1977x42982,571,206.99
158,159,2021-12-10 06:08:51,2022-01-28 09:16:04,+1-595-934-3602x486,(935)091-0068x28673,1973,48.57
159,50,2023-02-28 11:27:25,2022-06-02 00:31:15,303.029.6813,001-399-356-2251,900,312.2
160,947,2022-10-06 03:45:20,2022-06-12 00:29:05,620.327.2218,001-924-354-3224,2740,33.62
161,883,2024-06-18 23:02:17,2022-12-02 06:39:38,923.356.3753x6799,4063455832,2566,389.15
162,25,2022-05-01 12:08:06,2022-09-30 14:59:45,442-241-1573x74175,114.357.1296,2911,248.25
163,797,2023-01-24 03:54:27,2021-12-07 17:50:31,0700400133,342.294.5109,1701,316.41
164,714,2023-11-14 03:00:32,2023-11-08 07:55:58,(444)051-5241,(115)086-3470x03408,2169,491.7
165,226,2023-02-15 05:09:35,2023-11-07 00:57:50,149-116-3957,836-923-4709x0898,3513,337.14
166,406,2023-08-17 18:03:11,2022-01-23 08:57:18,305-177-7032x0821,001-679-431-4563,588,422.83
167,1,2024-08-18 02:07:41,2023-09-05 03:11:15,(802)843-3646,+1-287-488-4387x379,1335,457.04
168,687,2021-11-20 12:40:11,2024-03-15 05:13:05,(169)830-3364,023.865.1290,1554,324.51
169,956,2024-07-30 05:56:16,2023-01-09 00:26:41,(328)806-5386,+1-241-676-1692x322,1635,231.14
170,732,2023-03-23 17:00:32,2022-05-29 02:01:45,757-828-3753x3053,551.324.9664x98742,3510,362.68
171,748,2024-02-17 02:54:39,2023-06-27 09:12:43,3908617789,322-638-1899x929,65,47.19
172,792,2023-05-05 19:47:15,2021-11-04 07:37:58,+1-112-461-9875x3527,(597)120-8811,2738,230.27
173,338,2022-08-28 02:48:33,2022-11-12 20:25:47,210.985.9149,4943821805,2325,330.68
174,895,2022-09-26 18:00:35,2022-09-29 07:17:09,820.124.6710,(111)118-2933x977,1474,232.61
175,359,2023-11-22 19:01:17,2023-10-26 04:25:13,+1-733-914-5934x17063,963.651.3597x613,2924,223.2
176,712,2022-01-14 09:09:32,2022-04-28 16:35:58,6249881013,(258)886-4369,2983,498.96
177,444,2021-11-25 07:52:32,2021-10-24 16:08:34,001-564-238-9420x86731,0633949383,3149,440.63
178,584,2022-03-13 10:08:26,2024-06-12 15:13:32,001-129-772-2951x4647,222-352-1452x522,1282,428.98
179,111,2024-08-08 06:31:09,2023-09-25 19:38:12,775.456.0502x18640,001-722-256-1093x9760,1433,328.57
180,999,2023-07-17 07:53:24,2023-11-24 10:05:11,001-403-913-5617,906-434-0526x24722,2436,348.82
181,566,2022-03-22 09:18:24,2022-05-02 15:06:37,001-164-603-3509x6597,001-921-717-9346x66232,64,332.55
182,583,2022-04-17 23:42:50,2023-08-05 15:44:19,715-990-1324x24800,171.518.4875,403,469.44
183,425,2022-07-04 15:18:26,2021-12-20 11:05:41,426.914.3906x2068,+1-429-174-9667x4243,361,49.22
184,911,2022-10-14 03:23:55,2022-11-04 07:35:41,564.376.0287x49234,(988)994-2134x818,1160,72.76
185,173,2023-04-21 08:23:43,2023-03-21 10:00:53,(629)003-9374,5074858578,2969,422.54
186,534,2022-09-24 10:23:16,2023-01-01 19:00:58,(142)157-3226,2844867042,1953,28.19
187,833,2022-02-20 16:53:57,2021-10-28 07:38:53,873.062.3423x065,8050548676,3533,251.97
188,233,2024-03-17 23:55:55,2023-07-08 04:04:55,001-137-721-8093x73608,582.940.6682x6760,864,217.28
189,467,2024-06-12 04:39:41,2024-03-16 15:04:01,086.010.8979x42377,(737)544-0735,1274,216.96
190,415,2022-03-01 14:15:03,2024-01-05 15:01:06,(863)271-3939x0742,756.728.7687,1667,340.88
191,64,2023-10-25 04:48:52,2022-08-17 00:08:34,825-318-2221,001-624-637-2817x5781,1880,338.5
192,339,2024-05-18 05:21:45,2022-12-18 08:40:59,001-004-776-5912x982,001-637-932-1663x61776,1392,431.53
193,432,2024-07-21 16:05:32,2024-05-06 22:27:27,+1-384-350-1888,141-223-2526,2014,482.51
194,998,2022-10-04 07:58:22,2023-12-14 10:14:35,(782)288-6941x8010,(596)298-6547,1218,201.38
195,191,2023-09-08 19:29:25,2024-08-21 04:18:25,+1-612-800-5604x650,001-935-145-8337,2369,54.25
196,113,2023-10-10 20:52:43,2023-07-31 21:55:07,167-031-1385,+1-213-253-6065,3464,41.98
197,314,2024-06-06 08:01:20,2024-07-15 19:34:02,+1-695-427-1306,1517968876,585,160.91
198,853,2023-11-27 00:12:06,2024-04-21 19:30:20,+1-917-553-8314x860,796-175-8628,960,453.43
199,395,2022-03-05 23:09:06,2022-01-16 03:58:34,1767243899,(293)273-9237x71978,2773,112.8
200,470,2024-09-12 10:08:16,2023-04-20 07:43:42,631.254.1510,(807)000-5688x92368,2929,200.82
201,48,2024-01-14 12:50:34,2023-04-09 02:02:44,4280087561,+1-033-764-3803x228,1512,440.48
202,336,2022-04-09 20:51:27,2022-07-11 08:21:10,6883509097,001-904-979-3232,912,451.88
203,152,2023-10-21 12:42:55,2024-08-21 05:33:05,464-592-5935x4911,+1-094-599-2278x8237,282,207.53
204,23,2023-10-03 23:30:37,2021-12-20 04:52:21,(249)279-5006,(957)514-6238x570,2881,432
205,626,2023-07-09 06:29:24,2022-10-14 02:02:32,629.185.3456x574,2831013588,2209,367.29
206,6,2023-05-13 20:58:31,2021-12-22 03:06:12,218.240.1497,314-047-2314x22423,2606,297.73
207,81,2022-01-11 16:35:02,2022-07-26 20:55:28,249.337.3271,(616)279-6666x081,349,177.17
208,811,2024-07-08 17:21:37,2023-11-22 16:22:13,138.416.7308,+1-085-520-1679x1223,1954,45.9
209,869,2024-08-07 00:39:38,2022-01-25 08:20:59,741.651.4294x992,001-940-846-4610x778,346,262.6
210,310,2024-03-20 18:54:37,2023-11-07 13:51:02,532.252.9517,5545596653,922,196.2
211,595,2022-08-31 12:36:29,2024-04-12 13:46:40,843-904-0870,469.268.3579x25760,696,373.84
212,289,2023-12-01 00:41:06,2024-06-18 15:49:13,083.287.3993x22270,9752844946,2648,259.38
213,431,2023-04-15 01:04:22,2022-03-07 15:19:02,(477)338-1026x597,(453)657-3710x830,3203,214.72
214,639,2024-07-24 14:01:05,2023-02-02 06:46:48,001-517-388-0370x1358,+1-358-681-4228x593,199,355.95
215,850,2022-01-24 13:21:22,2022-02-23 07:01:50,122-537-9524x873,161.374.1588x9429,1414,457.86
216,181,2021-12-19 09:30:18,2024-09-27 09:40:31,4034081904,695-992-4850x5100,3014,323.3
217,719,2022-09-01 11:49:43,2024-03-15 07:30:25,365-883-7537,(206)590-1449x7759,2792,484.81
218,443,2022-09-12 21:17:16,2024-05-05 06:33:11,001-663-425-0502x81919,007.595.0360x36458,2396,283.57
219,406,2022-07-05 10:42:13,2024-07-29 11:25:56,0450844191,9257219215,1837,277.59
220,729,2021-11-06 23:47:50,2022-08-19 08:48:51,(403)028-4086x196,001-850-010-8857x0001,1127,173.05
221,309,2024-02-18 03:40:00,2022-09-19 09:12:44,(603)563-8573x6857,559-044-0305x8848,1615,208.71
222,235,2022-06-01 00:15:28,2024-04-04 23:55:45,027.998.2715x1056,001-989-431-1072x570,2860,116.35
223,720,2023-10-03 16:28:23,2024-08-25 13:13:08,(639)625-5044,001-368-434-1290x2805,2620,364.05
224,771,2024-05-22 16:06:09,2024-09-17 14:57:20,+1-982-304-2365,7868778645,2233,145.18
225,388,2024-04-02 05:02:32,2022-12-09 00:38:13,001-561-644-5341x12755,019-736-6214x079,3070,399.87
226,77,2024-01-24 15:42:26,2023-12-16 00:46:01,191-606-7761x68488,851-555-9284x910,2380,26.43
227,253,2021-10-30 13:33:36,2023-07-16 20:04:23,323-760-3011x5496,+1-427-830-3064,2149,235.25
228,313,2023-07-01 22:03:48,2024-07-24 14:55:50,+1-578-700-4510x5216,001-444-097-8550x37516,2119,423.98
229,288,2022-07-05 15:21:30,2021-10-19 16:47:10,108.086.3794x07435,001-057-836-0078,2497,443.87
230,589,2023-01-30 20:15:03,2022-10-11 07:51:56,(276)432-2369x385,1169803063,2130,245.47
231,866,2022-06-25 13:14:08,2022-03-14 07:10:19,654-038-7899x405,935.073.4294,675,272.15
232,438,2022-10-03 09:30:54,2021-10-26 22:47:44,+1-881-807-6008,944.897.5639x14861,964,412.74
233,455,2024-03-14 18:06:57,2022-05-30 10:11:41,(241)883-9580,+1-067-426-8141x26335,690,473.51
234,705,2023-06-28 21:20:59,2024-03-27 22:37:26,+1-485-912-2650x3403,821-314-5699x766,587,337.28
235,2,2022-02-04 17:58:24,2023-04-03 10:00:26,083-484-3686,+1-192-460-9714x74178,3348,428.55
236,792,2023-11-22 22:37:22,2023-01-01 02:05:24,062-324-4418x9520,001-310-596-4196x78414,3076,19.72
237,543,2023-09-12 22:23:06,2021-10-26 01:00:29,962-463-0513,681-010-4902,875,147.2
238,495,2022-12-12 17:14:01,2023-12-16 10:58:21,864-387-0675,4242675780,920,358.89
239,330,2023-05-08 23:54:31,2024-09-17 07:04:02,+1-699-189-4867x82061,(948)113-9586,2474,412.5
240,6,2023-12-05 18:22:36,2021-10-14 08:44:57,001-708-498-9350x12424,(245)285-0006x5641,2868,30.72
241,443,2022-05-03 10:34:29,2023-07-18 18:50:08,864.885.8125,673-662-6542,487,443.54
242,351,2022-09-11 12:39:28,2024-01-04 00:31:44,001-849-259-8135,794.438.2368x8310,1833,114.88
243,585,2023-04-24 18:59:16,2023-08-04 01:34:41,(186)485-1814,001-977-858-1059,944,440.94
244,165,2024-02-29 16:14:58,2024-02-02 23:04:23,294-620-8276x15549,(598)017-7727x26099,3502,443.28
245,568,2023-06-12 05:07:28,2022-03-23 07:23:21,001-665-253-3706x885,+1-013-480-3589x0576,579,328.97
246,144,2023-06-26 04:04:23,2022-12-18 00:33:28,364-501-1066x1028,001-444-937-2097x913,862,235.78
247,877,2023-04-21 15:06:17,2023-05-02 19:13:46,(168)405-8916,537-741-3298,870,235.21
248,954,2021-12-01 03:23:45,2024-01-23 19:36:43,001-638-665-8444x606,(968)910-2047x516,1988,422.15
249,696,2022-12-23 06:15:40,2022-06-17 00:43:17,595-902-0905,(452)227-9463x03580,3473,296.61
250,441,2022-03-27 09:44:44,2023-05-02 02:22:32,001-564-468-7048x76981,+1-351-317-4333x07973,2124,454.89
